Recency,Frequency,Monetary
326,1,77183.6
2,7,4310.0
75,4,1797.24
19,1,1757.55
310,1,334.4
36,8,2506.04
204,1,89.0
232,1,1079.4
214,1,459.4
23,3,2811.43
33,1,6207.67
2,2,1168.06
58,4,6310.03
52,3,2662.06
287,1,189.9
3,10,5226.23
110,2,552.0
8,4,1313.1
291,2,641.38
4,1,168.9
51,4,3541.94
45,2,1887.96
72,3,1298.04
311,1,364.6
25,1,742.9300000000001
11,2,457.5
315,2,1628.12
130,1,4008.62
82,2,852.24
22,4,2724.81
5,5,1845.31
185,5,1850.56
29,2,585.27
338,2,401.9
16,6,2780.66
80,1,549.84
22,1,439.66
72,4,1582.6000000000001
64,2,1272.48
19,12,3018.63
36,2,2409.9
46,1,1635.6599999999999
119,4,1108.65
303,1,84.3
323,1,225.6
50,1,427.7
149,1,1710.39
22,2,3415.3
50,5,1708.1200000000001
33,5,2888.55
79,3,11072.67
309,2,693.3299999999999
75,3,1226.88
67,3,758.1
217,3,562.41
24,21,124914.53
3,9,3649.1
113,1,668.58
64,1,600.39
16,4,807.04
96,3,803.5600000000001
1,8,1859.31
163,2,1760.96
78,1,777.2
195,1,582.73
22,3,825.8
26,9,7956.46
9,4,3750.4
43,1,256.4
36,15,6419.95
43,5,5059.32
1,7,13375.87
85,2,806.14
80,2,7829.89
100,1,509.01
2,18,4951.41
14,2,2906.85
367,1,173.55
3,1,172.06
21,5,5005.46
22,1,133.4
58,1,1002.3100000000001
243,1,476.49
44,1,449.45
22,4,4067.29
156,2,197.88
11,5,9035.52
17,2,430.57
134,1,707.09
56,1,3528.34
73,6,2466.86
44,3,3181.04
66,7,2363.23
71,2,947.4
94,2,826.88
19,2,1189.59
53,4,1344.78
10,8,1212.05
17,2,742.1899999999999
188,2,729.5400000000001
2,30,19788.65
32,7,6572.11
29,5,3928.0499999999997
17,18,7324.09
54,1,723.38
16,11,6816.42
23,6,13219.74
4,1,680.99
11,1,527.2
28,4,3281.63
23,10,5579.82
17,8,2484.98
33,6,4527.32
10,3,1298.66
336,1,334.93
5,10,5417.93
39,1,460.40000000000003
63,2,263.21000000000004
166,2,433.74
16,7,1246.1000000000001
82,1,1043.1
21,3,403.70000000000005
23,11,4257.82
337,1,2169.39
96,5,3723.87
18,2,482.04999999999995
233,1,73.5
134,3,1304.81
26,2,397.88
284,1,176.5
143,2,982.5699999999999
66,2,132.18
113,1,612.29
267,1,1017.68
353,1,383.7
78,2,1312.06
28,5,2481.6
1,5,2056.89
64,1,330.84
79,5,2634.26
143,1,599.68
39,2,192.72
19,11,1789.77
9,8,4485.72
1,3,1316.66
82,3,348.71000000000004
9,6,1933.48
60,4,1662.28
15,1,125.22
30,1,349.83000000000004
131,1,1089.18
92,2,716.35
43,3,12601.830000000002
29,1,363.95
22,4,5568.35
20,17,13400.24
30,3,981.18
36,1,372.7
75,2,1000.39
47,2,1161.5
198,2,207.79999999999998
166,1,95.19999999999999
79,1,964.83
358,1,168.0
39,2,437.82
8,10,3692.28
50,2,599.56
16,5,11990.960000000001
8,1,269.96
311,2,561.71
5,3,2134.01
303,1,238.85
8,7,3781.7400000000002
261,1,456.9
289,1,145.92
86,1,351.65
23,10,9401.28
2,32,4124.69
40,2,519.61
9,2,1020.42
227,1,160.54000000000002
316,1,218.45
36,5,1315.83
35,3,626.6
21,2,2794.51
78,1,440.42
247,1,415.7
40,1,197.71
239,2,511.36
3,15,7281.38
4,9,2338.15
234,2,2040.1
17,1,196.94000000000003
8,1,144.0
39,1,214.89999999999998
29,2,646.68
211,2,9864.26
317,1,452.84999999999997
92,2,437.6
109,3,418.09999999999997
38,10,3338.2200000000003
51,2,618.27
19,4,3811.22
10,8,3023.08
29,7,1032.58
29,10,2599.04
190,5,577.0600000000001
59,1,153.12
22,1,739.1999999999999
79,2,254.18
60,1,1579.51
78,3,1126.85
23,5,2099.54
52,1,1193.32
74,1,704.0400000000001
57,5,3344.38
278,1,315.6
2,4,2291.19
95,2,713.3
29,1,352.98
22,1,177.31
16,9,3641.24
15,3,1339.41
2,20,13689.67
232,1,180.1
276,1,305.1
106,2,641.13
212,2,2683.82
23,9,6620.48
11,7,4478.53
4,3,786.46
10,2,1270.88
57,1,640.5
59,4,2163.98
90,2,1689.18
67,8,6002.9
33,1,671.69
239,1,486.1
24,3,1174.58
115,1,185.9
25,3,1013.26
128,6,3344.64
130,1,477.91
34,4,1775.18
5,2,1346.97
22,12,3722.82
155,1,318.05
107,3,623.51
3,1,314.44
335,1,114.0
331,1,919.98
149,2,2209.85
11,5,601.98
17,5,4051.17
11,4,1643.18
19,1,686.05
30,1,91.68
11,1,245.1
1,11,3849.78
8,9,4881.88
325,1,63.0
58,1,620.13
12,4,3807.15
151,3,2744.0299999999997
10,5,2996.05
330,1,225.89999999999998
5,2,610.52
39,4,1970.6
25,6,1331.39
42,12,17628.46
59,4,1113.02
1,4,862.81
15,22,13787.54
4,31,12279.82
4,15,8476.57
8,7,2283.63
28,6,2863.08
372,1,89.14
114,1,4873.8099999999995
26,2,1247.61
206,1,389.01
28,6,1035.8
127,4,855.91
70,2,869.67
7,4,582.1
29,3,957.59
8,4,4939.99
80,2,797.71
20,1,219.0
71,1,283.55
7,8,2340.84
15,9,6868.29
292,1,603.42
30,10,2712.91
15,15,9706.52
97,3,1149.02
29,13,4396.13
1,1,848.55
9,5,4708.86
106,1,343.36
4,2,1053.49
151,2,1030.98
71,1,238.25
5,2,644.95
3,25,5781.73
32,6,2656.13
85,4,997.63
4,5,725.07
5,4,1031.41
371,1,427.8
28,7,2609.1
11,7,3980.7
71,4,836.33
114,1,453.01
24,12,18895.91
180,1,236.26000000000002
234,1,383.95
353,1,110.39999999999999
315,2,779.5699999999999
333,1,234.0
372,1,155.35
78,2,1013.04
64,1,427.6
134,2,540.13
52,7,21279.29
2,11,4196.01
1,209,33053.19
4,5,4090.88
129,1,275.88
81,1,4366.78
23,6,21429.39
236,3,3010.74
281,2,3811.95
87,1,112.07999999999998
16,13,7834.650000000001
117,2,2791.59
52,3,1531.44
8,2,1898.52
138,2,494.08
317,1,1693.88
4,7,6989.63
239,1,1143.6
211,1,1351.45
60,1,892.47
17,5,1386.04
20,6,822.23
38,8,3981.36
64,2,826.74
5,5,2330.92
2,6,2225.91
9,2,532.8199999999999
364,1,311.95
10,3,463.66
65,1,91.85
192,1,324.92
374,1,192.60000000000002
257,1,400.53999999999996
335,2,545.48
53,2,860.41
19,1,430.48
366,1,254.03
10,3,6977.04
187,1,427.58
37,3,483.65000000000003
178,1,489.31
261,3,514.85
45,1,229.64000000000001
102,1,125.92
148,2,1063.46
96,2,572.2
281,1,166.04
262,1,1542.08
3,4,942.34
214,1,92.72
71,2,948.88
75,5,1759.5
60,1,397.12
3,7,1474.72
6,3,430.15000000000003
3,6,1018.71
337,2,293.0
38,6,6814.64
262,1,215.05
32,2,383.03
145,1,417.38
283,1,312.38
59,4,2610.36
173,1,134.1
34,2,671.95
3,14,5591.42
144,4,2726.77
5,25,3991.58
70,2,1118.99
66,8,1702.26
29,2,325.96000000000004
267,4,354.09
22,1,843.64
31,2,1010.29
97,1,131.81
295,1,311.55
135,6,1957.1000000000001
79,3,1316.25
373,1,38.1
8,6,2170.78
211,2,1106.4
52,1,521.2
138,1,147.12
26,2,1568.23
283,1,559.12
26,7,4009.34
186,6,1607.0600000000002
84,2,380.64
327,2,599.97
282,1,374.0
143,2,343.2300000000001
58,2,2218.02
4,12,1535.77
236,2,854.99
45,3,573.22
276,1,298.0
9,2,1463.04
25,4,703.47
88,1,309.05
63,3,1175.22
68,2,1378.4
214,2,354.12
24,1,376.71999999999997
186,3,331.0
31,1,176.55
42,2,372.8
205,2,216.5
9,28,17654.54
265,1,138.68
18,2,496.06
12,5,2919.81
176,2,750.0
40,5,2178.67
23,8,3075.04
3,5,1662.3
5,5,2483.63
149,2,363.65
139,4,2944.95
128,1,594.0
8,6,1335.19
17,1,162.78
9,37,16587.09
161,1,405.38
64,1,172.82
88,4,933.7
5,2,694.05
35,5,2062.7000000000003
312,1,117.85
78,2,415.8
22,15,42055.96
24,3,607.53
2,7,2160.7
17,4,1063.9
15,4,1504.27
26,1,114.14
64,8,11581.8
55,2,899.69
131,3,675.6
36,2,604.51
288,1,462.95
144,6,1603.99
16,7,2064.95
31,8,4167.22
2,3,1843.0
9,6,1064.07
6,4,1387.79
10,1,329.85
1,11,4757.16
306,1,108.07
10,8,4017.54
7,2,266.39
8,8,1856.63
89,1,769.8100000000001
10,1,160.18
358,2,1660.9
112,1,135.95
7,4,405.47
4,86,11189.91
198,1,144.8
212,1,738.6
156,1,39.239999999999995
158,9,7374.900000000001
30,2,372.21999999999997
243,1,390.54
19,1,97.5
1,2,1239.38
74,2,558.7
292,1,505.82
3,15,6924.110000000001
31,3,409.5
23,2,503.76
23,4,414.76
4,3,974.4200000000001
85,1,211.32
22,4,1226.89
196,3,455.88
107,3,534.85
4,13,9785.970000000001
318,1,120.94999999999999
106,3,149.05
12,18,5655.91
174,2,513.7
56,1,81.57
323,1,229.46999999999997
372,1,50.550000000000004
9,8,1646.8400000000001
1,13,4810.9400000000005
11,10,3466.2799999999997
53,5,3339.64
73,3,789.89
7,1,204.0
16,28,7277.7
4,9,2616.38
64,2,689.9
1,5,975.36
114,6,6912.0
23,2,661.3199999999999
31,3,1247.5
11,2,752.4399999999999
52,2,1010.18
357,1,190.55
55,2,642.77
74,2,921.88
138,3,881.07
80,3,908.46
9,2,676.99
273,1,516.42
291,1,560.47
99,1,305.28000000000003
31,2,629.31
32,10,3237.54
14,4,1819.41
64,2,656.6800000000001
15,17,5836.86
212,1,348.15000000000003
78,3,1214.41
25,3,271.40000000000003
250,1,183.4
254,1,307.53
72,1,248.61
191,1,346.98
13,4,1105.59
373,1,205.86
24,2,470.8
82,1,115.46000000000001
10,2,344.0
1,24,4431.44
192,1,228.8
267,1,177.15
130,1,919.61
1,4,728.02
3,26,12627.94
4,5,220.10000000000002
179,1,58.08
12,11,28337.38
126,9,3613.63
4,2,303.75
158,2,416.08000000000004
3,97,58762.08
9,14,8910.82
28,1,345.82
71,5,477.83
276,8,7832.47
21,12,1927.3200000000002
71,1,74.39999999999999
33,10,6003.22
1,28,28882.44
99,1,207.35999999999999
234,1,101.19
1,24,6424.09
40,1,243.94
3,6,1098.48
133,1,76.5
44,4,1531.6200000000001
373,1,350.06
60,2,786.54
31,7,1488.67
1,24,12245.960000000001
12,4,2294.78
138,1,501.14
22,8,984.91
20,5,1197.81
239,1,30.599999999999998
269,1,283.73
94,2,922.39
90,3,3756.33
5,8,2099.64
78,1,259.17
94,1,64.0
23,3,1073.3
262,1,77.3
274,2,109.8
86,4,1793.58
197,1,3096.0
56,5,2607.61
11,8,3603.29
22,6,962.39
16,7,5064.94
108,3,422.47
85,5,2388.75
19,1,307.09
333,1,110.95
40,4,618.52
26,1,228.91
10,4,712.8000000000001
29,12,3683.26
14,4,1676.06
296,1,1257.8700000000001
6,1,486.22
33,4,971.76
49,4,1741.22
95,4,1201.06
9,4,1429.35
22,1,91.8
313,1,112.75
122,4,1688.29
46,2,1021.48
283,1,417.2
19,4,791.33
36,4,1299.59
64,2,712.88
27,1,108.81
22,3,468.41
4,2,353.65
16,3,2742.82
46,1,481.49
65,1,282.45
26,11,5725.47
45,1,121.18
8,9,3957.78
15,10,1668.95
268,1,71.4
40,3,1575.89
337,1,236.02
11,1,114.60000000000001
19,2,260.68
95,2,911.94
61,1,112.08
136,1,60.7
11,4,1797.78
10,6,3401.2400000000002
4,38,9817.12
19,4,870.09
10,4,869.46
15,2,250.26000000000002
59,6,1217.65
30,8,5891.61
94,1,353.48
10,3,1095.42
20,3,786.83
57,5,1520.58
268,1,333.74
122,3,533.98
127,1,62.63999999999999
78,4,819.2900000000001
240,2,847.41
200,2,163.20000000000002
60,2,2155.95
3,7,6463.84
273,1,108.21000000000001
202,1,257.7
81,1,358.0
226,1,160.95
4,14,2755.63
13,7,1328.35
74,2,605.12
212,1,1031.07
25,2,744.85
17,4,700.73
262,1,329.56
96,4,663.65
112,3,270.40000000000003
203,1,585.12
93,1,121.74000000000001
51,1,430.5
18,6,1961.52
18,4,501.12
125,2,465.68
92,3,711.41
157,2,1030.4
9,2,399.51
12,3,672.83
62,1,283.18
61,1,557.62
269,2,944.1
263,1,200.29
1,35,7436.93
53,5,2092.66
11,12,3834.2599999999998
3,19,4521.49
18,11,3174.75
1,15,5343.28
366,1,590.0
37,1,211.49
31,2,276.56
113,1,138.98
64,2,590.9300000000001
16,4,258.4
41,1,542.73
78,1,137.75
122,3,798.46
18,3,1132.14
60,2,93.66
331,1,201.19
23,4,2709.12
156,1,361.11
39,2,578.9399999999999
190,2,873.74
360,1,201.20000000000002
137,1,87.4
8,4,2089.85
1,1,360.0
268,1,142.5
169,1,371.89
104,4,618.09
155,1,63.75
351,1,300.42
4,10,2000.86
120,1,15.0
23,3,1385.51
7,5,1456.79
28,3,1132.03
4,2,598.57
22,5,1555.32
2,3,775.94
37,4,5732.93
66,6,2273.68
1,3,640.76
5,26,10845.550000000001
78,4,1532.2
72,2,567.36
17,1,199.48000000000002
3,5,787.85
36,10,7121.95
82,1,675.3
39,8,3627.77
316,1,1308.48
32,2,789.0
93,3,1140.93
14,1,350.9
82,3,3502.32
77,1,795.12
158,1,487.02
201,1,860.12
45,7,10736.48
261,1,775.85
178,1,353.43
68,3,2511.69
288,1,389.5
70,1,341.36
64,1,233.76
11,1,247.32
16,2,979.12
66,1,373.94
60,1,397.97999999999996
71,1,743.53
122,1,674.7
80,1,768.24
257,1,609.4
269,1,439.03
64,1,439.56
9,4,3090.7400000000002
18,2,992.5
71,1,134.95999999999998
34,2,2225.37
50,1,56.160000000000004
257,2,623.4
366,1,308.28000000000003
372,1,754.87
90,1,378.64
61,3,3312.25
89,1,778.65
99,3,1019.76
26,3,572.56
32,6,3639.31
281,1,222.99
31,7,4151.93
330,1,534.57
131,2,677.1
11,3,797.96
75,1,544.08
204,1,59.8
2,8,2520.02
185,1,307.72
29,2,1360.99
73,5,1544.13
192,1,457.34
127,2,621.23
18,1,75.0
1,2,252.49
74,3,572.451
2,62,28117.04
24,5,1003.06
107,1,213.55
134,3,1390.5
44,2,712.5
5,2,640.83
12,18,6127.43
64,1,221.06
150,2,159.85
40,2,1833.71
64,1,2626.3
108,3,1624.21
1,10,3641.32
19,3,582.6
10,1,201.78
11,4,1006.8
19,2,679.45
67,2,1269.1
74,2,534.24
5,7,3809.8900000000003
2,1,196.89
14,7,3408.06
255,1,283.71
92,1,296.64
23,3,1129.14
17,6,3534.69
24,1,291.88
27,6,2043.7199999999998
26,5,2898.2599999999998
259,2,590.0
166,2,356.97999999999996
25,2,1058.34
18,6,1766.72
7,14,9646.57
29,2,183.44
39,3,1445.0
253,1,151.5
58,1,674.68
184,1,307.9
11,2,1071.91
2,37,5704.97
99,2,165.0
1,4,2501.84
61,2,422.64
236,1,226.84
191,4,1431.78
179,2,1238.47
38,6,1454.58
201,2,300.95
46,5,1804.56
232,1,184.64
66,1,140.34
241,1,313.8
233,1,454.24
78,3,1122.41
58,3,575.4
17,13,8968.31
105,4,449.52
52,10,1215.82
136,3,1269.84
275,2,618.63
312,1,316.26000000000005
8,5,2044.8700000000001
11,2,653.33
283,2,348.05
18,5,1159.11
23,3,1166.77
288,1,1340.32
17,3,292.0
71,1,216.85
64,1,295.93
73,4,4393.63
316,2,458.52
3,4,2479.16
244,1,110.97
9,7,979.72
1,4,1791.56
261,1,251.21
127,1,205.1
74,1,152.20000000000002
73,4,891.12
21,3,1389.41
60,3,2128.42
86,1,627.16
78,1,122.75
59,6,3624.35
1,3,1071.73
30,1,125.80000000000001
33,5,3964.88
41,5,680.1800000000001
15,2,628.78
34,7,2242.36
79,2,307.76
205,2,483.8
34,1,210.31
183,3,269.09
2,25,5870.08
1,7,3444.39
43,7,1280.85
86,3,631.34
40,2,276.06
12,3,621.09
96,2,678.16
26,7,918.2
319,1,91.80000000000001
66,12,3740.07
74,4,4098.88
28,2,584.06
6,4,594.52
7,1,171.42000000000002
216,1,141.85999999999999
82,3,1799.33
84,2,777.53
144,3,1724.67
19,2,240.22
41,2,856.84
173,1,187.05
17,2,338.62
243,1,239.49
13,12,2088.94
206,1,1384.25
50,2,290.25
23,5,732.0699999999999
10,18,6717.34
25,4,1687.6000000000001
15,2,467.04
309,1,118.0
156,1,781.03
307,1,142.4
64,1,712.4
16,9,2478.95
15,2,379.65
11,6,1981.92
65,3,1117.13
36,4,247.95999999999998
108,5,2011.88
53,1,396.97
6,2,664.11
47,1,160.04
1,21,5149.92
312,1,219.52
45,2,693.32
65,1,428.89
26,1,164.34
29,3,276.75
40,1,675.51
12,7,1082.33
89,3,1154.4
24,4,1585.46
319,1,417.69
40,3,544.18
174,1,177.34
117,1,213.85
31,5,727.74
253,1,257.23
59,5,1638.47
23,11,7792.36
5,7,2031.78
100,11,3070.42
25,5,2118.93
33,5,1547.3600000000001
68,1,1071.03
37,5,949.12
52,3,804.3
16,1,122.64
74,1,1033.34
216,1,312.28
31,3,519.44
16,4,2624.26
120,1,252.1
10,4,1648.1200000000001
257,2,346.6
17,6,1836.34
35,2,94.2
46,3,1095.08
43,6,2707.33
114,2,932.97
165,2,379.65
11,2,382.14
10,5,2639.17
206,2,1563.0
86,3,881.26
179,1,189.47
60,3,84.65
149,1,299.05
3,21,6309.83
51,2,218.55
75,1,349.7
301,2,186.39000000000001
19,2,387.44
151,2,486.82000000000005
152,1,232.6
1,4,3719.12
18,4,827.83
187,1,59.5
286,1,65.13
3,7,3119.44
183,1,72.0
63,1,910.0
59,1,172.25
25,3,1488.32
4,50,65039.62
31,15,2504.13
39,1,151.29999999999998
155,1,308.58000000000004
26,10,2248.63
318,1,99.5
5,9,2308.06
8,3,711.86
303,1,330.79
267,2,806.41
271,1,285.33
4,13,6307.650000000001
32,1,180.48
219,2,252.06
247,1,228.84
281,5,1077.39
269,1,138.28
32,6,1445.01
246,2,306.55
15,5,1041.68
117,4,799.9
36,1,524.14
132,3,2375.41
217,1,199.85000000000002
50,8,1980.56
39,2,1079.6599999999999
29,2,333.48
37,6,1016.14
136,2,752.6
219,2,610.59
28,1,491.86
25,4,2883.54
5,2,729.8
200,1,339.59999999999997
18,1,216.9
241,1,350.75
72,3,668.4300000000001
17,12,3107.87
3,7,1341.6
95,2,1080.52
162,1,300.04
374,1,79.6
96,5,948.25
54,5,1647.26
288,1,296.25
124,6,1175.38
288,1,741.26
152,2,282.59999999999997
4,9,2108.06
2,14,5189.52
12,7,3190.55
33,2,659.4100000000001
54,2,286.79
50,2,1070.65
219,1,306.72
63,1,1714.96
71,3,1519.42
2,37,17220.36
2,10,2796.51
64,4,2634.45
34,3,1122.63
82,1,345.0
1,33,25977.16
103,1,178.7
7,2,360.01
251,1,127.84
13,6,908.86
10,11,2462.79
367,1,230.39999999999998
76,2,309.04
4,1,348.8
128,2,1516.0
66,2,195.55
1,57,37153.85
117,2,688.86
310,1,558.32
67,1,324.8
139,3,4599.42
255,1,277.07
31,7,2588.39
52,2,924.6
64,1,256.38
367,1,112.6
6,5,1747.66
305,1,155.05
29,3,1499.01
184,3,814.5
42,3,539.0
40,4,1366.8600000000001
92,2,1579.12
22,4,4027.36
24,2,571.6700000000001
29,2,382.98
302,3,1140.35
145,2,385.64
6,2,632.0
19,2,957.66
33,5,1698.94
176,1,189.5
58,3,409.8
22,1,209.49
16,6,2198.45
19,1,52.199999999999996
159,1,383.85
25,4,834.57
212,2,266.59000000000003
6,4,674.82
253,1,85.0
59,9,3385.62
11,1,361.62
65,1,312.98
25,3,865.0600000000001
92,3,1255.0
52,2,1537.95
129,1,1595.48
96,3,2651.46
57,1,1090.14
9,25,8109.5199999999995
169,3,388.5
57,1,216.17
326,1,201.16
1,5,1245.9
18,8,2209.36
248,1,305.78
58,4,501.56
74,1,145.67000000000002
31,3,1005.09
7,2,3192.54
123,4,3083.65
2,8,2770.94
23,13,6403.25
120,3,389.6
358,1,540.45
54,5,1786.79
64,1,122.7
86,1,117.24
55,1,1271.57
21,13,3219.77
4,20,17159.52
3,5,1191.13
11,5,2674.48
7,5,787.6
189,2,506.8
71,1,243.56
204,1,349.55
120,2,595.67
93,1,416.90000000000003
1,10,1883.8100000000002
27,4,632.97
298,1,821.1
24,3,564.62
28,4,2593.07
50,1,311.16
326,1,155.93
16,2,388.52
183,3,740.95
72,5,2867.2
37,2,332.64
80,4,2369.55
57,9,2580.91
12,2,626.45
50,2,272.04
50,2,1212.8400000000001
59,2,384.81
352,1,172.25
54,1,351.13
2,6,1838.8500000000001
93,4,678.25
23,1,223.85000000000002
75,1,348.99
11,4,464.57
169,2,842.65
58,2,337.34
96,2,1237.53
295,1,307.4
109,2,608.7900000000001
264,1,922.1
180,1,376.58
169,1,158.85
35,1,71.66
23,3,568.55
17,4,839.14
22,5,5112.96
79,3,561.5699999999999
65,1,90.6
361,1,102.0
3,6,2427.32
11,4,745.06
176,3,674.45
218,2,3251.071
7,7,3515.68
2,2,439.92
154,2,322.96
5,5,1019.27
79,3,594.04
21,2,230.22
22,2,169.55
308,4,664.54
146,1,80.7
7,18,9024.17
19,8,2758.26
71,2,190.25
287,1,264.7
49,1,413.59000000000003
31,6,2461.2400000000002
207,1,357.98
15,2,196.79000000000002
73,1,869.87
60,1,200.14
39,4,1871.81
30,12,2603.43
27,5,920.51
4,15,7060.13
17,1,320.46
20,6,4147.96
66,2,1266.08
213,1,311.3
12,6,852.88
30,1,76.8
43,9,3466.36
4,6,2274.14
15,5,1393.69
10,12,3901.81
211,1,635.66
46,3,2043.0800000000002
134,2,529.73
43,7,4582.64
10,5,2874.72
116,3,962.19
198,2,695.61
278,1,328.8
110,3,473.02
77,1,505.18
53,1,917.34
162,4,4341.21
47,3,1421.61
17,2,642.8
155,3,631.9
225,1,440.0
7,2,584.07
122,2,327.7
61,1,104.82
63,2,467.66
18,8,2358.84
7,19,17286.86
2,11,2975.59
22,3,648.89
29,5,1428.02
285,1,626.65
176,2,147.20000000000002
78,3,1560.38
33,1,152.2
41,12,3560.32
266,1,141.41
27,4,646.42
109,4,1659.75
284,1,154.99
9,5,1308.6100000000001
305,1,409.93
17,4,5578.72
32,2,746.36
1,23,15610.390000000001
20,1,225.36
124,2,260.25
65,1,92.46
106,1,725.6400000000001
1,23,8152.71
24,17,6211.66
267,1,183.6
5,19,6140.42
10,12,10464.85
29,5,1334.34
267,1,152.55
64,2,374.7
320,1,265.85
4,8,1437.57
32,1,151.04
5,3,942.26
129,1,118.67
41,5,499.41999999999996
102,6,1049.37
125,1,375.1
33,1,45.599999999999994
302,2,921.62
365,1,182.25
4,9,1002.9
2,18,4421.29
3,1,191.47
10,13,50491.81
57,1,158.75
325,1,76.32000000000001
8,14,4076.91
12,1,433.86
4,17,65164.79
37,1,147.35
16,11,3104.17
138,1,191.95000000000002
74,6,5976.79
5,5,1105.8799999999999
155,2,216.20999999999998
239,1,1266.23
52,7,2703.23
31,2,597.91
73,1,144.2
4,12,5683.15
14,4,692.85
23,7,2915.15
4,4,1840.42
274,2,386.53
20,5,1382.74
144,1,90.0
4,4,2780.15
84,1,419.58000000000004
11,3,2720.63
8,3,706.1300000000001
123,3,709.71
61,2,637.5
2,5,1123.8600000000001
319,1,480.91
2,11,3586.0299999999997
130,3,605.64
2,15,4690.31
2,2,965.8800000000001
46,1,415.82
4,2,935.05
3,4,915.13
373,1,311.81
134,1,115.8
47,4,3742.2
9,5,4191.0
78,2,483.4
234,1,157.2
221,1,446.62
36,2,658.64
75,2,621.29
239,2,1345.62
266,1,118.75
10,55,117210.08
20,2,424.89000000000004
40,1,507.66
20,11,4630.35
216,3,1097.6200000000001
174,2,289.36
87,4,2445.91
71,2,1631.77
276,1,120.44
39,4,562.59
98,1,363.79
11,4,450.84
33,1,134.46
60,3,3222.3
297,4,576.9000000000001
86,4,549.46
9,7,1600.26
41,2,701.57
11,25,4748.52
67,1,452.89
331,1,197.65
31,6,2054.36
2,15,4654.08
2,13,4684.76
68,2,853.39
5,21,11349.52
202,2,1012.0
107,1,335.52
18,4,701.4
218,1,185.39999999999998
60,7,747.44
2,1,150.61
17,2,466.7
239,1,328.15999999999997
95,1,151.74
11,6,2073.43
106,6,1905.8400000000001
53,9,2241.1
90,1,1070.48
31,5,1004.38
12,6,1789.72
3,4,1839.3
2,17,2004.98
43,1,169.48000000000002
4,1,89.94
247,2,632.4
42,9,3432.8
177,1,683.17
92,3,991.13
110,4,1009.73
29,5,2214.79
26,10,3350.96
52,3,1547.2
184,3,925.71
43,5,2048.07
49,4,1462.72
22,4,754.12
75,5,3144.86
81,2,490.86
373,1,161.0
326,1,146.85
43,11,2380.85
30,2,890.34
184,1,213.70000000000002
235,2,280.55
9,10,2588.77
220,2,1693.45
111,3,1474.06
278,1,136.76999999999998
318,1,302.58
7,3,1904.05
2,5,2879.7000000000003
260,2,969.0600000000001
64,5,3099.7200000000003
9,9,12669.98
142,1,120.0
51,2,1163.45
8,8,2618.23
155,2,333.97
109,2,530.18
163,3,1516.24
332,1,492.65000000000003
226,1,112.32
74,2,437.96
51,4,559.97
99,3,1119.74
15,3,4188.0
197,1,134.04
3,15,3701.44
31,2,595.25
21,4,1910.01
24,3,4628.75
8,3,176.63
213,1,426.6
9,6,911.26
11,5,2314.65
2,11,3883.25
8,9,4871.93
3,4,1046.56
40,1,166.20000000000002
18,4,1305.33
